,Staircase_name,Before_Response,Same_Response,After_Response,participant_id
223,400_2,3,,12.0,56
224,100_1,6,6.0,3.0,57
225,100_2,8,4.0,3.0,57
226,400_1,5,1.0,9.0,57
227,400_2,3,0.0,12.0,57
228,100_1,7,5.0,3.0,58
229,100_2,7,2.0,6.0,58
230,400_1,7,5.0,3.0,58
231,400_2,6,6.0,3.0,58
232,100_1,11,2.0,2.0,59
233,100_2,7,4.0,4.0,59
234,400_1,0,2.0,13.0,59
235,400_2,3,0.0,12.0,59
236,100_1,5,4.0,6.0,60
237,100_2,5,4.0,6.0,60
238,400_1,5,5.0,5.0,60
239,400_2,2,5.0,8.0,60
240,100_1,9,1.0,5.0,61
241,100_2,6,1.0,8.0,61
242,400_1,5,5.0,5.0,61
243,400_2,7,5.0,3.0,61
244,100_1,9,3.0,3.0,62
245,100_2,6,3.0,6.0,62
246,400_1,2,2.0,11.0,62
247,400_2,4,1.0,10.0,62
248,100_1,3,12.0,,63
249,100_2,3,12.0,,63
250,400_1,15,0.0,,63
251,400_2,15,0.0,,63
252,100_1,8,0.0,7.0,64
253,100_2,7,0.0,8.0,64
254,400_1,7,8.0,0.0,64
255,400_2,10,5.0,0.0,64
256,100_1,4,8.0,3.0,65
257,100_2,3,8.0,4.0,65
258,400_1,6,4.0,5.0,65
259,400_2,5,4.0,6.0,65
260,100_1,5,9.0,1.0,66
261,100_2,5,8.0,2.0,66
262,400_1,4,4.0,7.0,66
263,400_2,4,3.0,8.0,66
264,100_1,5,3.0,7.0,67
265,100_2,2,10.0,3.0,67
266,400_1,4,6.0,5.0,67
267,400_2,4,4.0,7.0,67
268,100_1,12,3.0,0.0,68
269,100_2,13,2.0,0.0,68
270,400_1,5,0.0,10.0,68
271,400_2,1,2.0,12.0,68
272,100_1,11,4.0,0.0,69
273,100_2,11,4.0,0.0,69
274,400_1,7,0.0,8.0,69
275,400_2,7,0.0,8.0,69
276,100_1,1,12.0,2.0,70
277,100_2,2,11.0,2.0,70
278,400_1,4,4.0,7.0,70
279,400_2,5,4.0,6.0,70
280,100_1,4,8.0,3.0,71
281,100_2,3,9.0,3.0,71
282,400_1,5,3.0,7.0,71
283,400_2,4,6.0,5.0,71
284,100_1,7,8.0,0.0,72
285,100_2,7,8.0,0.0,72
286,400_1,7,2.0,6.0,72
287,400_2,11,0.0,4.0,72
288,100_1,6,5.0,4.0,73
289,100_2,8,3.0,4.0,73
290,400_1,3,2.0,10.0,73
291,400_2,7,1.0,7.0,73
292,100_1,7,8.0,0.0,74
293,100_2,7,8.0,0.0,74
294,400_1,11,0.0,4.0,74
295,400_2,11,0.0,4.0,74
296,100_1,6,8.0,1.0,75
297,100_2,8,6.0,1.0,75
298,400_1,9,0.0,6.0,75
299,400_2,7,2.0,6.0,75
300,100_1,6,0.0,9.0,76
301,100_2,3,1.0,11.0,76
302,400_1,4,2.0,9.0,76
303,400_2,4,2.0,9.0,76
304,100_1,1,8.0,6.0,77
305,100_2,4,6.0,5.0,77
306,400_1,7,4.0,4.0,77
307,400_2,4,4.0,7.0,77
308,100_1,11,2.0,2.0,78
309,100_2,8,4.0,3.0,78
310,400_1,3,4.0,8.0,78
311,400_2,1,1.0,13.0,78
312,100_1,4,2.0,9.0,79
313,100_2,4,7.0,4.0,79
314,400_1,6,8.0,1.0,79
315,400_2,8,7.0,0.0,79
316,100_1,9,2.0,4.0,80
317,100_2,5,2.0,8.0,80
318,400_1,6,7.0,2.0,80
319,400_2,5,8.0,2.0,80
320,100_1,9,0.0,6.0,81
321,100_2,5,0.0,10.0,81
322,400_1,8,7.0,0.0,81
323,400_2,9,6.0,0.0,81
324,100_1,2,12.0,1.0,82
325,100_2,3,12.0,0.0,82
326,400_1,13,1.0,1.0,82
327,400_2,15,0.0,0.0,82
328,100_1,0,11.0,4.0,83
329,100_2,1,11.0,3.0,83
330,400_1,9,2.0,4.0,83
331,400_2,8,2.0,5.0,83
332,100_1,5,2.0,8.0,84
333,100_2,7,4.0,4.0,84
334,400_1,5,7.0,3.0,84
335,400_2,7,6.0,2.0,84
336,100_1,7,5.0,3.0,85
337,100_2,6,5.0,4.0,85
338,400_1,5,2.0,8.0,85
339,400_2,4,9.0,2.0,85
340,100_1,10,2.0,3.0,86
341,100_2,4,6.0,5.0,86
342,400_1,4,1.0,10.0,86
343,400_2,3,1.0,11.0,86
344,100_1,10,3.0,2.0,87
345,100_2,5,7.0,3.0,87
346,400_1,6,4.0,5.0,87
347,400_2,4,3.0,8.0,87
348,100_1,5,8.0,2.0,88
349,100_2,6,4.0,5.0,88
350,400_1,5,6.0,4.0,88
351,400_2,5,5.0,5.0,88
352,100_1,5,5.0,5.0,89
353,100_2,8,4.0,3.0,89
354,400_1,4,2.0,9.0,89
355,400_2,2,2.0,11.0,89
356,100_1,6,8.0,1.0,90
357,100_2,2,5.0,8.0,90
358,400_1,5,4.0,6.0,90
359,400_2,6,4.0,5.0,90
360,100_1,5,8.0,2.0,91
361,100_2,5,5.0,5.0,91
362,400_1,5,4.0,6.0,91
363,400_2,4,5.0,6.0,91
364,100_1,4,7.0,4.0,92
365,100_2,3,11.0,1.0,92
366,400_1,6,2.0,7.0,92
367,400_2,0,6.0,9.0,92
368,100_1,4,2.0,9.0,93
369,100_2,8,3.0,4.0,93
370,400_1,4,7.0,4.0,93
371,400_2,5,9.0,1.0,93
372,100_1,3,5.0,7.0,94
373,100_2,5,6.0,4.0,94
374,400_1,3,7.0,5.0,94
375,400_2,4,4.0,7.0,94
376,100_1,5,10.0,0.0,95
377,100_2,5,10.0,0.0,95
378,400_1,13,0.0,2.0,95
379,400_2,13,0.0,2.0,95
380,100_1,3,10.0,2.0,96
381,100_2,2,8.0,5.0,96
382,400_1,7,4.0,4.0,96
383,400_2,7,5.0,3.0,96
384,100_1,4,10.0,1.0,97
385,100_2,5,8.0,2.0,97
386,400_1,7,3.0,5.0,97
387,400_2,6,5.0,4.0,97
388,100_1,13,1.0,1.0,98
389,100_2,12,1.0,2.0,98
390,400_1,1,1.0,13.0,98
391,400_2,0,2.0,13.0,98
392,100_1,6,6.0,3.0,99
393,100_2,6,6.0,3.0,99
394,400_1,4,2.0,9.0,99
395,400_2,4,5.0,6.0,99
396,100_1,7,7.0,1.0,100
397,100_2,3,1.0,11.0,100
398,400_1,9,6.0,0.0,100
399,400_2,6,9.0,0.0,100
400,100_1,2,9.0,4.0,101
401,100_2,2,8.0,5.0,101
402,400_1,8,3.0,4.0,101
403,400_2,9,2.0,4.0,101
404,100_1,9,1.0,5.0,102
405,100_2,6,2.0,7.0,102
406,400_1,6,6.0,3.0,102
407,400_2,4,7.0,4.0,102
408,100_1,1,8.0,6.0,103
409,100_2,5,6.0,4.0,103
410,400_1,6,5.0,4.0,103
411,400_2,4,2.0,9.0,103
412,100_1,1,12.0,2.0,104
413,100_2,3,11.0,1.0,104
414,400_1,10,2.0,3.0,104
415,400_2,8,4.0,3.0,104
416,100_1,9,0.0,6.0,105
417,100_2,7,0.0,8.0,105
418,400_1,6,9.0,0.0,105
419,400_2,6,9.0,0.0,105
420,100_1,4,6.0,5.0,106
421,100_2,6,7.0,2.0,106
422,400_1,5,4.0,6.0,106
423,400_2,6,1.0,8.0,106
424,100_1,8,4.0,3.0,107
425,100_2,5,4.0,6.0,107
426,400_1,1,3.0,11.0,107
427,400_2,2,1.0,12.0,107
428,100_1,5,7.0,3.0,108
429,100_2,1,11.0,3.0,108
430,400_1,5,3.0,7.0,108
431,400_2,2,4.0,9.0,108
432,100_1,3,12.0,,109
433,100_2,3,12.0,,109
434,400_1,15,0.0,,109
435,400_2,15,0.0,,109
436,100_1,11,4.0,0.0,110
437,100_2,11,4.0,0.0,110
438,400_1,7,0.0,8.0,110
439,400_2,7,0.0,8.0,110
440,100_1,8,3.0,4.0,111
441,100_2,4,5.0,6.0,111
442,400_1,5,2.0,8.0,111
443,400_2,3,10.0,2.0,111
444,100_1,6,0.0,9.0,112
445,100_2,8,2.0,5.0,112
446,400_1,10,5.0,0.0,112
447,400_2,8,6.0,1.0,112
448,100_1,5,10.0,0.0,113
449,100_2,3,11.0,1.0,113
450,400_1,9,2.0,4.0,113
451,400_2,11,1.0,3.0,113
452,100_1,11,4.0,0.0,114
453,100_2,8,3.0,4.0,114
454,400_1,5,0.0,10.0,114
455,400_2,1,2.0,12.0,114
456,100_1,3,4.0,8.0,115
457,100_2,6,4.0,5.0,115
458,400_1,7,3.0,5.0,115
459,400_2,3,7.0,5.0,115
460,100_1,6,1.0,8.0,116
461,100_2,7,6.0,2.0,116
462,400_1,8,7.0,0.0,116
463,400_2,8,7.0,0.0,116
464,100_1,6,8.0,1.0,117
465,100_2,5,9.0,1.0,117
466,400_1,11,0.0,4.0,117
467,400_2,10,1.0,4.0,117
468,100_1,3,8.0,4.0,118
469,100_2,3,8.0,4.0,118
470,400_1,5,6.0,4.0,118
471,400_2,4,5.0,6.0,118
472,100_1,11,4.0,0.0,119
473,100_2,11,4.0,0.0,119
474,400_1,7,0.0,8.0,119
475,400_2,7,0.0,8.0,119
476,100_1,6,7.0,2.0,120
477,100_2,3,8.0,4.0,120
478,400_1,8,1.0,6.0,120
479,400_2,5,3.0,7.0,120
480,100_1,6,7.0,2.0,121
481,100_2,6,8.0,1.0,121
482,400_1,2,5.0,8.0,121
483,400_2,4,3.0,8.0,121
484,100_1,3,6.0,6.0,122
485,100_2,8,4.0,3.0,122
486,400_1,2,7.0,6.0,122
487,400_2,4,5.0,6.0,122
488,100_1,7,3.0,5.0,123
489,100_2,6,2.0,7.0,123
490,400_1,9,5.0,1.0,123
491,400_2,7,1.0,7.0,123
492,100_1,6,3.0,6.0,124
493,100_2,4,2.0,9.0,124
494,400_1,2,11.0,2.0,124
495,400_2,6,7.0,2.0,124
496,100_1,2,11.0,2.0,125
497,100_2,3,12.0,0.0,125
498,400_1,15,0.0,0.0,125
499,400_2,10,3.0,2.0,125
500,100_1,4,5.0,6.0,126
501,100_2,3,2.0,10.0,126
502,400_1,7,4.0,4.0,126
503,400_2,7,4.0,4.0,126
504,100_1,2,12.0,1.0,127
505,100_2,5,7.0,3.0,127
506,400_1,4,6.0,5.0,127
507,400_2,6,5.0,4.0,127
508,100_1,11,3.0,1.0,128
509,100_2,13,2.0,0.0,128
510,400_1,3,1.0,11.0,128
511,400_2,4,0.0,11.0,128
512,100_1,3,12.0,,129
513,100_2,3,12.0,,129
514,400_1,15,0.0,,129
515,400_2,15,0.0,,129
516,100_1,1,10.0,4.0,130
517,100_2,3,11.0,1.0,130
518,400_1,11,2.0,2.0,130
519,400_2,8,3.0,4.0,130
520,100_1,7,7.0,1.0,131
521,100_2,9,6.0,0.0,131
522,400_1,9,0.0,6.0,131
523,400_2,8,0.0,7.0,131
524,100_1,4,8.0,3.0,132
525,100_2,4,8.0,3.0,132
526,400_1,6,1.0,8.0,132
527,400_2,1,4.0,10.0,132
528,100_1,2,8.0,5.0,133
529,100_2,5,6.0,4.0,133
530,400_1,2,7.0,6.0,133
531,400_2,3,4.0,8.0,133
532,100_1,8,0.0,7.0,134
533,100_2,6,0.0,9.0,134
534,400_1,5,10.0,0.0,134
535,400_2,10,5.0,0.0,134
536,100_1,3,12.0,0.0,135
537,100_2,5,7.0,3.0,135
538,400_1,7,4.0,4.0,135
539,400_2,6,4.0,5.0,135
540,100_1,4,7.0,4.0,136
541,100_2,7,6.0,2.0,136
542,400_1,1,6.0,8.0,136
543,400_2,6,3.0,6.0,136
544,100_1,3,7.0,5.0,137
545,100_2,5,7.0,3.0,137
546,400_1,6,4.0,5.0,137
547,400_2,5,6.0,4.0,137
548,100_1,12,0.0,3.0,138
549,100_2,6,0.0,9.0,138
550,400_1,5,0.0,10.0,138
551,400_2,4,11.0,0.0,138
552,100_1,10,4.0,1.0,139
553,100_2,5,8.0,2.0,139
554,400_1,3,3.0,9.0,139
555,400_2,5,1.0,9.0,139
556,100_1,1,10.0,4.0,140
557,100_2,1,11.0,3.0,140
558,400_1,9,3.0,3.0,140
559,400_2,12,1.0,2.0,140
560,100_1,5,2.0,8.0,141
561,100_2,8,1.0,6.0,141
562,400_1,1,6.0,8.0,141
563,400_2,4,8.0,3.0,141
564,100_1,9,2.0,4.0,142
565,100_2,7,5.0,3.0,142
566,400_1,4,8.0,3.0,142
567,400_2,8,6.0,1.0,142
568,100_1,4,4.0,7.0,143
569,100_2,3,7.0,5.0,143
570,400_1,5,2.0,8.0,143
571,400_2,2,6.0,7.0,143
572,100_1,5,6.0,4.0,144
573,100_2,4,7.0,4.0,144
574,400_1,1,8.0,6.0,144
575,400_2,2,5.0,8.0,144
576,100_1,6,7.0,2.0,145
577,100_2,2,4.0,9.0,145
578,400_1,5,3.0,7.0,145
579,400_2,3,4.0,8.0,145
580,100_1,14,1.0,0.0,146
581,100_2,8,4.0,3.0,146
582,400_1,2,2.0,11.0,146
583,400_2,3,0.0,12.0,146
584,100_1,4,9.0,2.0,147
585,100_2,5,8.0,2.0,147
586,400_1,5,2.0,8.0,147
587,400_2,6,2.0,7.0,147
588,100_1,1,12.0,2.0,148
589,100_2,1,10.0,4.0,148
590,400_1,8,3.0,4.0,148
591,400_2,4,8.0,3.0,148
592,100_1,10,4.0,1.0,149
593,100_2,11,4.0,0.0,149
594,400_1,5,1.0,9.0,149
595,400_2,6,1.0,8.0,149
596,100_1,4,7.0,4.0,150
597,100_2,5,5.0,5.0,150
598,400_1,3,6.0,6.0,150
599,400_2,3,5.0,7.0,150
600,100_1,1,8.0,6.0,151
601,100_2,6,6.0,3.0,151
602,400_1,6,3.0,6.0,151
603,400_2,3,1.0,11.0,151
604,100_1,3,0.0,12.0,152
605,100_2,5,2.0,8.0,152
606,400_1,7,7.0,1.0,152
607,400_2,5,10.0,0.0,152
608,100_1,7,0.0,8.0,153
609,100_2,9,0.0,6.0,153
610,400_1,6,9.0,0.0,153
611,400_2,7,8.0,0.0,153
612,100_1,5,6.0,4.0,154
613,100_2,5,6.0,4.0,154
614,400_1,3,10.0,2.0,154
615,400_2,2,6.0,7.0,154
616,100_1,4,8.0,3.0,155
617,100_2,6,6.0,3.0,155
618,400_1,4,4.0,7.0,155
619,400_2,5,5.0,5.0,155
620,100_1,7,7.0,1.0,156
621,100_2,8,6.0,1.0,156
622,400_1,5,2.0,8.0,156
623,400_2,7,1.0,7.0,156
624,100_1,7,2.0,6.0,157
625,100_2,7,3.0,5.0,157
626,400_1,6,9.0,0.0,157
627,400_2,6,8.0,1.0,157
628,100_1,10,0.0,5.0,158
629,100_2,10,0.0,5.0,158
630,400_1,9,6.0,0.0,158
631,400_2,8,7.0,0.0,158
632,100_1,7,8.0,0.0,159
633,100_2,7,8.0,0.0,159
634,400_1,11,0.0,4.0,159
635,400_2,11,0.0,4.0,159
636,100_1,5,10.0,0.0,160
637,100_2,4,10.0,1.0,160
638,400_1,13,0.0,2.0,160
639,400_2,13,0.0,2.0,160
640,100_1,5,10.0,0.0,161
641,100_2,5,10.0,0.0,161
642,400_1,13,0.0,2.0,161
643,400_2,13,0.0,2.0,161
644,100_1,10,0.0,5.0,162
645,100_2,6,0.0,9.0,162
646,400_1,6,0.0,9.0,162
647,400_2,8,7.0,0.0,162
648,100_1,3,8.0,4.0,163
649,100_2,3,2.0,10.0,163
650,400_1,5,5.0,5.0,163
651,400_2,6,8.0,1.0,163
652,100_1,3,5.0,7.0,164
653,100_2,8,2.0,5.0,164
654,400_1,7,7.0,1.0,164
655,400_2,6,7.0,2.0,164
656,100_1,13,1.0,1.0,165
657,100_2,9,3.0,3.0,165
658,400_1,2,1.0,12.0,165
659,400_2,1,1.0,13.0,165
660,100_1,3,7.0,5.0,166
661,100_2,5,8.0,2.0,166
662,400_1,12,2.0,1.0,166
663,400_2,2,6.0,7.0,166
664,100_1,4,10.0,1.0,167
665,100_2,0,12.0,3.0,167
666,400_1,11,1.0,3.0,167
667,400_2,12,1.0,2.0,167
668,100_1,10,4.0,1.0,168
669,100_2,10,3.0,2.0,168
670,400_1,4,3.0,8.0,168
671,400_2,6,2.0,7.0,168
672,100_1,7,8.0,0.0,169
673,100_2,7,8.0,0.0,169
674,400_1,11,0.0,4.0,169
675,400_2,11,0.0,4.0,169
676,100_1,4,9.0,2.0,170
677,100_2,1,9.0,5.0,170
678,400_1,4,6.0,5.0,170
679,400_2,3,4.0,8.0,170
680,100_1,8,1.0,6.0,171
681,100_2,6,2.0,7.0,171
682,400_1,4,10.0,1.0,171
683,400_2,11,4.0,0.0,171
684,100_1,3,8.0,4.0,172
685,100_2,1,11.0,3.0,172
686,400_1,6,3.0,6.0,172
687,400_2,5,3.0,7.0,172
688,100_1,5,10.0,0.0,173
689,100_2,3,11.0,1.0,173
690,400_1,12,0.0,3.0,173
691,400_2,8,3.0,4.0,173
692,100_1,5,0.0,10.0,174
693,100_2,5,0.0,10.0,174
694,400_1,7,1.0,7.0,174
695,400_2,8,7.0,0.0,174
696,100_1,5,7.0,3.0,175
697,100_2,4,6.0,5.0,175
698,400_1,2,5.0,8.0,175
699,400_2,2,4.0,9.0,175
700,100_1,4,7.0,4.0,176
701,100_2,2,10.0,3.0,176
702,400_1,6,3.0,6.0,176
703,400_2,5,2.0,8.0,176
704,100_1,7,2.0,6.0,177
705,100_2,4,5.0,6.0,177
706,400_1,7,2.0,6.0,177
707,400_2,5,8.0,2.0,177
708,100_1,3,9.0,3.0,178
709,100_2,7,5.0,3.0,178
710,400_1,6,5.0,4.0,178
711,400_2,5,4.0,6.0,178
712,100_1,8,0.0,7.0,179
713,100_2,12,0.0,3.0,179
714,400_1,6,9.0,0.0,179
715,400_2,7,8.0,0.0,179
716,100_1,5,6.0,4.0,180
717,100_2,7,5.0,3.0,180
718,400_1,2,3.0,10.0,180
719,400_2,4,2.0,9.0,180
720,100_1,5,0.0,10.0,181
721,100_2,3,0.0,12.0,181
722,400_1,4,11.0,0.0,181
723,400_2,6,9.0,0.0,181
724,100_1,7,8.0,0.0,182
725,100_2,7,8.0,0.0,182
726,400_1,11,0.0,4.0,182
727,400_2,11,0.0,4.0,182
728,100_1,1,12.0,2.0,183
729,100_2,3,11.0,1.0,183
730,400_1,7,3.0,5.0,183
731,400_2,8,2.0,5.0,183
732,100_1,9,1.0,5.0,184
733,100_2,8,1.0,6.0,184
734,400_1,5,6.0,4.0,184
735,400_2,4,8.0,3.0,184
736,100_1,3,7.0,5.0,185
737,100_2,9,6.0,0.0,185
738,400_1,6,1.0,8.0,185
739,400_2,2,4.0,9.0,185
740,100_1,3,10.0,2.0,186
741,100_2,1,10.0,4.0,186
742,400_1,5,3.0,7.0,186
743,400_2,10,1.0,4.0,186
744,100_1,5,10.0,0.0,187
745,100_2,2,11.0,2.0,187
746,400_1,8,3.0,4.0,187
747,400_2,11,2.0,2.0,187
748,100_1,6,6.0,3.0,188
749,100_2,1,7.0,7.0,188
750,400_1,4,6.0,5.0,188
751,400_2,5,4.0,6.0,188
752,100_1,4,2.0,9.0,189
753,100_2,5,2.0,8.0,189
754,400_1,7,6.0,2.0,189
755,400_2,9,4.0,2.0,189
756,100_1,5,10.0,0.0,190
757,100_2,5,10.0,0.0,190
758,400_1,12,0.0,3.0,190
759,400_2,8,2.0,5.0,190
760,100_1,6,2.0,7.0,191
761,100_2,3,6.0,6.0,191
762,400_1,2,2.0,11.0,191
763,400_2,4,4.0,7.0,191
764,100_1,3,9.0,3.0,192
765,100_2,3,8.0,4.0,192
766,400_1,7,3.0,5.0,192
767,400_2,4,6.0,5.0,192
768,100_1,5,10.0,0.0,193
769,100_2,5,10.0,0.0,193
770,400_1,13,0.0,2.0,193
771,400_2,13,0.0,2.0,193
772,100_1,6,4.0,5.0,194
773,100_2,7,4.0,4.0,194
774,400_1,3,3.0,9.0,194
775,400_2,5,3.0,7.0,194
776,100_1,2,10.0,3.0,195
